search_id,search_date,source_family,year_window,query_terms,domain,status,notes
SEARCH-PARL-001,2026-08-22,official,2012-2023,"Marikana; Lonmin; Farlam; Mining Charter; committee",parliament.gov.za,ongoing,"Formal committee/record retrieval continuing"
SEARCH-NGO-001,2026-08-22,ngo,2010-2023,"Marikana; Lonmin; Nkaneng; platinum; housing; workers; accountability",seri-sa.org;bench-marks.org.za;cer.org.za,ongoing,"Published reports/submissions only; strict Marikana relevance required"
SEARCH-CORP-001,2026-08-22,corporate,2010-2023,"Marikana; Lonmin; Sibanye; annual report; integrated report; SLP; renewal; housing; community",lonmin.com;sibanyestillwater.com,screened_initial,"Annual/integrated report editions canonicalized by reporting year; alternate HTML/PDF format is not a separate document. Lonmin 2010, 2011 and 2015 reports identified beyond current seed and logged as expansion candidates"
SEARCH-CORP-002,2026-08-22,corporate,2010-2018,"Lonmin annual report + reporting year",annualreports.com;historical lonmin.com,screened_initial,"Independent archive/historical citations confirm omitted annual-report editions; final inclusion depends on acquisition and substantive-text quality, not quota"
SEARCH-MEDIA-WEB-005,2026-08-22,media,2019-2023,"Marikana; Sibanye; restructuring; renewal; housing; reparations; wages; justice",miningweekly.com;engineeringnews.co.za;dailymaverick.co.za,screened_expansion,"Seven additional clearly Marikana-centred candidates logged in expanded_media_candidates_web_2019_2023.csv; Creamer Media mirrors collapsed prospectively"
SEARCH-GOV-WEB-002,2026-08-22,official,2015-2022,"Marikana; Farlam implementation; compensation; housing; accountability; renewal",gov.za;sanews.gov.za;gcis.gov.za,screened_expansion,"Four additional Marikana-centred official records logged; broad national speeches with only incidental Marikana passages remain excluded under source-family rules"
SEARCH-DM-005,2026-08-22,media,2019-2023,"Marikana; families; justice; accountability; Sibanye; Lonmin merger; wages",dailymaverick.co.za,repeat_search_new_records,"Repeat strict-source search still yielded new eligible records; media family not yet declared saturated"
SEARCH-MW-006,2026-08-22,media,2019-2023,"Marikana; Lonmin; Sibanye; community; ConCourt; merger; BEE; SLP",miningweekly.com,repeat_search_new_records,"Repeat search yielded distinct community-litigation, transaction and Marikana BBBEE records; operational-only K4 update explicitly excluded"
SEARCH-EN-004,2026-08-22,media,2019-2023,"Marikana; Sibanye; wages; renewal; community; jobs",engineeringnews.co.za,repeat_search_mostly_known,"Results were predominantly existing Creamer Media stories/mirrors; known final wage record retained once and incidental Kroondal/energy records excluded"
SEARCH-MW-007,2026-08-22,media,2010-2018,"Marikana; Lonmin; AMCU; Farlam; housing; Bapo; community; BEE; accountability",miningweekly.com,repeat_search_new_records,"Repeat early-period search was largely covered by existing batches but yielded two additional eligible Bapo/Lonmin community-governance records; republication variants were explicitly excluded"
SEARCH-DM-SAT-2022-PLUS,2026-08-22,media,2019-2023,"Marikana; wages; police; justice; Ramaphosa; truth; accountability; families",dailymaverick.co.za,repeat_search_new_records,"Further saturation sweep yielded new substantive wage, worker, policing and accountability records; media remains open until a zero-new repeat is achieved"
SEARCH-EN-SAT-2016,2026-08-22,media,2016,"Marikana; Lonmin; living conditions; AMCU; wage deal",engineeringnews.co.za,repeat_search_new_records,"Three distinct Marikana/Lonmin labour and living-condition records added; mirrors handled canonically"
SEARCH-GOV-SAT-2023,2026-08-22,official,2023,"Marikana; litigation; compensation; claims; settlement",gov.za;gcis.gov.za;sanews.gov.za,repeat_search_new_record,"One substantive government litigation update retained; secondary official-news summary and media advisory excluded"
SEARCH-CER-SAT-2015,2026-08-22,ngo,2015,"Lonmin; Marikana; Full Disclosure; environmental compliance; SLP",cer.org.za;fulldisclosure.cer.org.za,repeat_search_new_record,"CER Full Disclosure report contains a dedicated substantive Lonmin/Marikana regulatory-compliance section and was added as a candidate"
SEARCH-SERI-SAT-2012,2026-08-22,ngo,2012,"Marikana; families; Department of Justice; international scrutiny; police",seri-sa.org,source_resolution_pending,"SERI archive verifies additional substantive 2012 statements, but document-specific URLs have not yet been resolved; candidates logged as pending and not sent to acquisition"
SEARCH-SERI-SAT-2014,2026-08-22,ngo,2014,"Marikana; closing arguments; legal funding; families",seri-sa.org,source_resolution_pending,"SERI archive verifies additional substantive 2014 statements; exact document URLs remain pending, preventing premature whole-index acquisition"
SEARCH-CORP-SAT-2019-2023,2026-08-22,corporate,2019-2023,"Marikana; wage negotiations; memorial; renewal; commemoration",sibanyestillwater.com,repeat_search_new_records,"Five standalone Marikana-specific corporate communications added beyond annual/integrated reports; general operational pages excluded"
SEARCH-JUSTICE-002,2026-08-22,official,2012-2015,"heads of argument; Phase 2 seminars; submissions; reports",justice.gov.za,saturated_zero_new,"Verification against the official documents index found all 15 listed substantive heads and all eight eligible Phase-2 analytical papers already represented; remaining records are transcripts, raw exhibits, gazettes or administrative notices excluded by the fixed source-family rules"
SEARCH-MEDIA-FINAL-001,2026-08-22,media,2015-2022,"Farlam findings; Lonmin response; housing accountability",miningweekly.com;engineeringnews.co.za,repeat_search_new_records,"Recovered direct Farlam findings coverage, Lonmin's formal response and a 2022 housing-accountability investigation; republication/summary variants excluded"
SEARCH-MEDIA-FINAL-002,2026-08-22,media,2013-2021,"Lonmin anniversary; Marikana accountability; Phiyega review",engineeringnews.co.za;dailymaverick.co.za,repeat_search_new_records,"Recovered a first-anniversary Lonmin stakeholder record and two distinct 2021 accountability/judicial records"
SEARCH-DM-FINAL-003,2026-08-22,media,2012-2014,"Commission; police planning; Ramaphosa; families; anniversary",dailymaverick.co.za,repeat_search_new_records,"Two genuinely absent 2014 Commission records added; four apparent results were already represented and logged as such"
SEARCH-DM-COMMISSION-2013,2026-08-22,media,2013,"Marikana Commission; Phiyega; police testimony; accountability",dailymaverick.co.za,repeat_search_new_records,"Two additional independently authored Commission reports on Phiyega's testimony added"
SEARCH-DM-COMMISSION-2014,2026-08-22,media,2014,"Marikana Commission; Mthethwa; Phiyega; Ramaphosa; police",dailymaverick.co.za,repeat_search_new_records,"Additional minister/police leadership Commission records added; confirms media not yet saturated"
SEARCH-DM-FARLAM-2015,2026-08-22,media,2015,"Farlam report; release; Phiyega; criminal accountability",dailymaverick.co.za,repeat_search_new_records,"Two additional post-/pre-report accountability records added"
SEARCH-MEDIA-2016-2023-VERIFY,2026-08-22,media,2016-2023,"Marikana; Lonmin; Sibanye; housing; police; justice; wages; community; renewal",dailymaverick.co.za;miningweekly.com;engineeringnews.co.za,repeat_search_mostly_known,"Latest broad late-period pass returned records already represented in existing batches; no closure declared because contemporaneous early-period Commission searches were still yielding new records"
SEARCH-CORP-NEWS-2019,2026-08-22,corporate,2019,"Marikana; Section 189; Greater Lonmin Community; PGM wage agreements; CCMA",sibanyestillwater.com;resource-capital.ch;thevault.exchange,repeat_search_new_records,"Official archive verified multiple Marikana-specific releases; exact archived copies recovered for Section 189 start, GLC Constitutional Court outcome and final wage agreement; CCMA dispute release remains pending document-specific recovery"
SEARCH-CORP-NEWS-2020,2026-08-22,corporate,2020,"Marikana; Section 189 conclusion",sibanyestillwater.com;pressebox.com,repeat_search_new_record,"Full-text mirror recovered for Sibanye's January 2020 Marikana Section 189 consultation conclusion"
SEARCH-CORP-NEWS-2023,2026-08-22,corporate,2023,"Marikana commemoration; positive change",sibanyestillwater.com;renewalprogramme.co.za,source_resolution_pending,"Official Sibanye and Marikana Renewal indexes verify the 14 August 2023 release, but document-specific full-text URL remains pending"
SEARCH-MEDIA-SITEMAP-PROBE,2026-08-22,media,2010-2023,"publisher sitemaps and archive/search endpoints; Marikana; Lonmin; Farlam; Sibanye; AMCU; Bapo; Wonderkop; Nkaneng",dailymaverick.co.za;miningweekly.com;engineeringnews.co.za,discovery_workflow_triggered,"Reproducible discovery crawler introduced to enumerate candidate URLs independently of search-engine ranking; discovered URLs require normal protocol screening before inclusion"
