recovery_id,category,title,year,publisher,url,status,relevance_note
MEDIA-024,media,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",2014,"Mining Weekly",https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,verified_candidate,"Post-strike employee/community ownership and engagement response"
MEDIA-025,media,"Farlam wants workers housed, Mining Charter goes to court, coal firms transform for Eskom",2015,"Mining Weekly",https://www.miningweekly.com/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,verified_candidate,"Farlam recommendation on Lonmin worker housing and governance obligations"
MEDIA-026,media,"Lonmin cuts workforce, shrinks capex, lowers unit costs",2015,"Mining Weekly",https://www.miningweekly.com/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,verified_candidate,"Investor/workforce trade-offs following Marikana and the 2014 strike"
MEDIA-027,media,"Corobrik's quality face bricks used in the construction of Marikana's housing project",2016,"Engineering News",https://www.engineeringnews.co.za/article/corobriks-quality-face-bricks-used-in-the-construction-of-marikanas-housing-project-2016-05-23,verified_candidate,"Community housing response linked to Lonmin and North West government"
MEDIA-028,media,"Objectives are to cut fixed costs, minimise capex, up efficiencies",2017,"Mining Weekly",https://www.miningweekly.com/article/objectives-are-to-cut-fixed-costs-minimise-capex-up-efficiencies-2017-04-07,verified_candidate,"Lonmin restructuring, BEE and Bapo Ba Mogale stakeholder arrangements"
MEDIA-029,media,"The lost platinum sector jobs are not coming back",2019,"Daily Maverick",https://www.dailymaverick.co.za/article/2019-10-24-the-lost-platinum-sector-jobs-are-not-coming-back/,verified_candidate,"Sector employment and productivity context including Marikana strike impacts"
MEDIA-030,media,"One decade on, the Marikana mine has seen a turnaround in fortunes and is making a punchy profit",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-14-one-decade-on-the-marikana-mine-has-seen-a-turnaround-in-fortunes-and-is-making-a-punchy-profit/,verified_candidate,"Post-acquisition investor/operational retrospective on Marikana"
MEDIA-031,media,"Lonmin donates 50 ha of land for residential development",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,verified_candidate,"Corporate/community housing and land response following Marikana"
MEDIA-032,media,"80 000 AMCU workers on strike in platinum sector",2014,"Mining Weekly",https://www.miningweekly.com/article/80-000-amcu-workers-on-strike-in-platinum-sector-2014-01-23,verified_candidate,"Opening of the 2014 platinum strike; direct labour and wage-demand evidence"
MEDIA-033,media,"Strike-hit mothers have no food to put on the table – Lonmin",2014,"Mining Weekly",https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,verified_candidate,"Community and worker hardship during prolonged strike; includes company engagement claims"
MEDIA-034,media,"Miners regress on ARV treatment – Lonmin",2014,"Mining Weekly",https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,verified_candidate,"Worker health and company response during strike"
MEDIA-035,media,"AMCU opens strike fund for members, calls for donations",2014,"Mining Weekly",https://www.miningweekly.com/article/amcu-opens-strike-fund-for-members-calls-for-donations-2014-04-15,verified_candidate,"Labour mobilisation and social hardship during strike"
MEDIA-036,media,"AMCU considering all options – negotiator",2014,"Mining Weekly",https://www.miningweekly.com/article/amcu-considering-all-options-negotiator-2014-05-29,verified_candidate,"Negotiation dynamics and labour stakeholder position during strike"
MEDIA-037,media,"Housing Miners",2014,"Mining Weekly",https://www.miningweekly.com/article/housing-miners-2014-11-11,verified_candidate,"Post-Marikana mining housing commitments including Lonmin Marikana Extension 2"
MEDIA-038,media,"AMCU stands firm on R12 500 demand, Lonmin calls on union to reconsider 9%",2014,"Mining Weekly",https://www.miningweekly.com/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,verified_candidate,"Direct wage negotiation, living conditions, transformation and SLP dispute evidence"
MEDIA-039,media,"Mining towns get R18bn facelift",2015,"Mining Weekly",https://www.miningweekly.com/article/mining-towns-get-r18bn-facelift-2015-07-01,verified_candidate,"Government/community response with Marikana housing and mining-town intervention"
MEDIA-040,media,"Farlam finds against Lonmin, recommends enforced housing delivery",2015,"Mining Weekly",https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,verified_candidate,"Direct reporting of Commission findings against Lonmin and stakeholder obligations"
MEDIA-041,media,"Govt commits billions for revitalisation of mining-dependent communities",2016,"Mining Weekly",https://www.miningweekly.com/article/govt-commits-billions-for-revitalisation-of-mining-dependent-communities-2016-02-05,verified_candidate,"Government mining-community intervention with specific Marikana housing projects"
MEDIA-042,media,"Nothing off table as Lonmin pursues value in low platinum price environment",2017,"Mining Weekly",https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,verified_candidate,"Lonmin accommodation commitments, restructuring and post-Marikana operating context"
MEDIA-043,media,"Sibanye-Stillwater to acquire embattled Lonmin, completes PGMs strategy",2017,"Mining Weekly",https://www.miningweekly.com/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,verified_candidate,"Investor and corporate transition preceding transfer of Marikana ownership"
MEDIA-044,media,"Lonmin transaction filed with South Africa's competition authority",2018,"Mining Weekly",https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,verified_candidate,"Regulatory review of acquisition with explicit AMCU worker/community concerns"
MEDIA-045,media,"Reserve Bank approves Sibanye's buyout of Lonmin",2018,"Mining Weekly",https://www.miningweekly.com/article/reserve-bank-approves-sibanyes-buyout-of-lonmin-2018-05-15,verified_candidate,"Regulatory approval and employment sustainability context"
MEDIA-046,media,"UK regulatory body approves Sibanye's acquisition of Lonmin",2018,"Mining Weekly",https://www.miningweekly.com/article/uk-regulatory-body-approves-sibanyes-acquisition-of-lonmin-2018-06-28,verified_candidate,"Cross-jurisdiction regulatory approval and corporate sustainability rationale"
MEDIA-047,media,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",2018,"Mining Weekly",https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,verified_candidate,"Competition decision balancing transaction with workforce protections"
MEDIA-048,media,"Lonmin undertakes refinancing, delivers on results promise",2018,"Mining Weekly",https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,verified_candidate,"Investor/liquidity context, retrenchments and rationale for Sibanye transaction"
MEDIA-049,media,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,"Mining Weekly",https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,verified_candidate,"Final regulatory/legal stage with direct AMCU opposition"
MEDIA-050,media,"Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover",2019,"Mining Weekly",https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,verified_candidate,"Direct host-community challenge involving Marikana, Nkaneng and Bapo ba Mogale"
MEDIA-051,media,"Sibanye plans to cut 5 270 jobs as it restructures Marikana operations",2019,"Mining Weekly",https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,verified_candidate,"Post-acquisition workforce restructuring and stakeholder consultation"
MEDIA-052,media,"Sibanye-Stillwater intensifies PGMs presence",2019,"Mining Weekly",https://www.miningweekly.com/article/sibanye-stillwater-intensifies-pgms-presence-2019-08-23,verified_candidate,"Investor/corporate perspective on Lonmin acquisition and PGMs strategy"
MEDIA-053,media,"Sibanye confirms final Marikana retrenchment figures",2020,"Mining Weekly",https://www.miningweekly.com/article/sibanye-confirms-final-marikana-retrenchment-figures-2020-01-16,verified_candidate,"Final workforce impact of post-acquisition restructuring"
MEDIA-054,media,"Sibanye launches campaign to reimagine, foster Marikana community of the future",2021,"Mining Weekly",https://www.miningweekly.com/article/sibanye-launches-campaign-to-reimagine-foster-marikana-community-of-the-future-2021-04-16,verified_candidate,"Launch of Marikana Renewal Programme and stakeholder redress"
MEDIA-055,media,"Sibanye to hold webcast series to aid healing and renewal in Marikana",2021,"Mining Weekly",https://www.miningweekly.com/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,verified_candidate,"Stakeholder engagement and renewal process"
MEDIA-056,media,"Amcu's Marikana PGM miners demand pay hikes of up to 40% from Sibanye",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-05-03-exclusive-amcus-marikana-pgm-miners-demand-pay-hikes-of-up-to-40-from-sibanye/,verified_candidate,"Contemporary labour demands and Marikana wage context"
MEDIA-057,media,"Mine workers have seen significant wage growth since Marikana, but social burdens undermine gains",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-07-24-mine-workers-have-seen-significant-wage-growth-since-marikana-but-social-burdens-undermine-gains/,verified_candidate,"Worker compensation and social-burden analysis with Marikana-specific wage data"
MEDIA-058,media,"Marikana miners: We'll fight another 10 years to taste justice",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-13-mine-workers-symbolising-sas-tragic-day-well-fight-another-10-years-to-taste-justice/,verified_candidate,"Worker/family justice perspective and Sibanye renewal commitments"
CORP-001,corporate,"Sibanye-Stillwater Integrated Report 2019",2019,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2019/,verified,"First Sibanye reporting suite after Lonmin acquisition; contains Marikana integration, stakeholder and social-development disclosures"
CORP-002,corporate,"Social and labour plans: Summary of projects in South Africa 2019",2019,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2019/download/SSW-2019-SLPs.pdf,verified,"Contains project-level Marikana operations social and labour plan disclosures"
CORP-003,corporate,"Sibanye-Stillwater Integrated Report 2020",2020,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2020/download/SSW-IR20.pdf,verified,"Contains Marikana Renewal, stakeholder engagement and Marikana operational disclosures"
CORP-004,corporate,"Marikana Renewal Fact Sheet 2020",2020,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2020/download/SSW-FS20-marikana-renewal.pdf,verified,"Dedicated stakeholder-engagement document for the Marikana Renewal programme"
CORP-005,corporate,"Social and labour plans summary 2020",2020,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2020/,verified_page,"2020 reporting suite indexes the SLP summary containing Marikana projects; direct PDF URL to be resolved"
CORP-006,corporate,"Sibanye-Stillwater Integrated Report 2021",2021,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2021/,verified,"Integrated reporting suite with Marikana stakeholder and operational coverage"
CORP-007,corporate,"Social and labour plans: Summary of projects in South Africa 2021",2021,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2021/download/SSW-FS21-SLP-summary.pdf?v=0.572,verified,"Detailed Marikana community health, infrastructure and other SLP commitments"
CORP-008,corporate,"Sibanye-Stillwater Integrated Report 2022",2022,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2022/download/ssw-IR22.pdf,verified,"Contains Marikana Renewal, stakeholder engagement, Nkaneng and housing disclosures"
CORP-009,corporate,"Sibanye-Stillwater Group Impact Report 2022",2022,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2022/download/SSW-IMPACT22.pdf,verified,"Impact report with Marikana-specific socioeconomic and education initiatives"
CORP-010,corporate,"Sibanye-Stillwater Integrated Report 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/downloads/ssw-IR23.pdf,verified,"Contains Marikana K4, socioeconomic development, housing and Nkaneng formalisation disclosures"
CORP-011,corporate,"Sibanye-Stillwater Group Impact Supplement 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/downloads/ssw-Impact23.pdf,verified,"Marikana-specific economic, employment, procurement and social investment impact metrics"
CORP-012,corporate,"Social and labour plans: Summary of projects in South Africa 2023",2023,"Sibanye-Stillwater",https://reports.sibanyestillwater.com/2023/downloads/ssw-FS23-SLP-summary.pdf,verified,"Project-level Marikana SLP outcomes and community infrastructure disclosures"
