representative_record_id,redundant_record_id,candidate_signal,raw_text_evidence_signal,final_duplicate_decision,decision_basis,fresh_text_similarity,fresh_hash_identity,fresh_hash_record_scope,title_sequence_similarity,slug_sequence_similarity,source_context,decision_provenance
MEDIA-048,DISC-MEDIA-0525,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-049,DISC-MEDIA-0644,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-050,DISC-MEDIA-0624,high_title_similarity,extraction_collision_blocks_text_similarity,collapse_near_duplicate_or_republication_keep_representative,pair_local_identical_fresh_body_hash_plus_metadata_corroboration,1.000000_exact_fresh_hash_identity,true,2,0.993289,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
MEDIA-055,DISC-MEDIA-0652,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
SAT-EARLY-MEDIA-001,DISC-MEDIA-0459,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
SAT-EARLY-MEDIA-002,DISC-MEDIA-0585,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
SAT-EARLY-MEDIA-005,DISC-MEDIA-0378,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
SAT-EARLY-MEDIA-007,DISC-MEDIA-0423,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
SAT-MEDIA-013,DISC-MEDIA-0637,very_high_slug_similarity,extraction_collision_blocks_text_similarity,collapse_near_duplicate_or_republication_keep_representative,pair_local_identical_fresh_body_hash_plus_metadata_corroboration,1.000000_exact_fresh_hash_identity,true,2,0.993464,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
SAT-MEDIA-015,DISC-MEDIA-0649,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
WEB-MEDIA-004,DISC-MEDIA-0635,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-038,DISC-MEDIA-0366,very_high_slug_similarity,extraction_collision_blocks_text_similarity,collapse_near_duplicate_or_republication_keep_representative,pair_local_identical_fresh_body_hash_plus_metadata_corroboration,1.000000_exact_fresh_hash_identity,true,2,0.844037,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-039,DISC-MEDIA-0440,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-040,DISC-MEDIA-0367,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-041,DISC-MEDIA-0515,high_title_similarity,extraction_collision_blocks_text_similarity,collapse_near_duplicate_or_republication_keep_representative,pair_local_identical_fresh_body_hash_plus_metadata_corroboration,1.000000_exact_fresh_hash_identity,true,2,0.987179,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-044,DISC-MEDIA-0458,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-051,DISC-MEDIA-0473,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_02__EXP-MEDIA-052,DISC-MEDIA-0683,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-001,DISC-MEDIA-0412,very_high_slug_similarity,high_text_similarity_republication_review,collapse_near_duplicate_or_republication_keep_representative,high_fresh_text_similarity_plus_title_slug_date_source_corroboration,0.989186,false,0,0.989474,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-002,DISC-MEDIA-0416,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-003,DISC-MEDIA-0514,exact_normalised_title,high_text_similarity_republication_review,collapse_near_duplicate_or_republication_keep_representative,high_fresh_text_similarity_plus_title_slug_date_source_corroboration,0.985136,false,0,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-004,DISC-MEDIA-0596,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-005,DISC-MEDIA-0592,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-007,DISC-MEDIA-0679,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,0.992179,false,0,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-008,DISC-MEDIA-0658,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates__EXP-MEDIA-010,DISC-MEDIA-0573,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch1__EXP-MEDIA-030,DISC-MEDIA-0373,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch1__EXP-MEDIA-033,DISC-MEDIA-0418,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch1__EXP-MEDIA-034,DISC-MEDIA-0680,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch1__EXP-MEDIA-037,DISC-MEDIA-0417,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch1__EXP-MEDIA-038,DISC-MEDIA-0456,exact_normalised_title,high_text_similarity_republication_review,collapse_near_duplicate_or_republication_keep_representative,high_fresh_text_similarity_plus_title_slug_date_source_corroboration,0.968567,false,0,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch2__EXP-MEDIA-046,DISC-MEDIA-0435,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch2__EXP-MEDIA-047,DISC-MEDIA-0681,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
expanded_media_candidates_batch2__EXP-MEDIA-050,DISC-MEDIA-0438,exact_normalised_title,very_high_text_similarity_republication_likely,collapse_near_duplicate_or_republication_keep_representative,very_high_fresh_text_similarity_plus_metadata_corroboration,1.000000,true,2,1.000000,1.000000,creamer_media_cross_site_or_same_publisher_update,broad_targeted_text_near_duplicate_review_2026-08-24
